discord channel,solvency category,address,name,symbol,decimals,chainId,extensions/superTokenInfo/type,extensions/superTokenInfo/underlyingTokenAddress,extensions/bridgeInfo/1/tokenAddress,extensions/bridgeInfo/10/tokenAddress,extensions/bridgeInfo/100/tokenAddress,extensions/bridgeInfo/137/tokenAddress,extensions/bridgeInfo/42161/tokenAddress,logoURI,tags/0,extensions/bridgeInfo/56/tokenAddress,extensions/bridgeInfo/43113/tokenAddress,extensions/bridgeInfo/5/tokenAddress,extensions/bridgeInfo/69/tokenAddress,extensions/bridgeInfo/80001/tokenAddress,extensions/bridgeInfo/421611/tokenAddress,tags/1,extensions/bridgeInfo/43114/tokenAddress
,C,0xc49c15350f001efee91e154f03bddf38cfd0d96e,Super Adept Camp Doge Coin,ACDCx,18,137,Wrapper,0x1f02ec2dd0ff3e31ca893aec6c3585fe88243df3,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/acdc/icon.svg,supertoken,,,,,,,,
,C,0x1f02ec2dd0ff3e31ca893aec6c3585fe88243df3,Adept Camp Doge Coin,ACDC,18,137,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/acdc/icon.svg,underlying,,,,,,,,
,C,0xd735b487b9018eeada2cc0464db02aa4b90ca711,NTDL,NTDL,18,137,Pure,,,,0x60fdb4d22e793353d98324d824034d66827f602e,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/ntdl/icon.svg,supertoken,,,0xcc48a0349077b91ab540d2e46addffb4a4a26251,,0x74950bcbb141ae70b8959fc06a65ac2601cf7801,,,
,C,0xd89c35b586eadfbde1a3b2d36fb5746c6d3601bc,Super Metavault Trade Token,MVXx,18,137,Wrapper,0x2760e46d9bb43dafcbecaad1f64b93207f9f0ed7,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/mvx/icon.png,supertoken,,,,,,,,
,C,0x2760e46d9bb43dafcbecaad1f64b93207f9f0ed7,Metavault Trade,MVX,18,137,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/mvx/icon.png,underlying,,,,,,,,
,C,0xe88f7c019dd3feb5e738681730fb150e62814670,Super CREEKS,CRKx,18,137,Wrapper,0xf122a63f9fd807fa28a3495ad822ad84c934793d,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/crk/icon.svg,supertoken,,,,,,,,
,C,0xf122a63f9fd807fa28a3495ad822ad84c934793d,CREEKS,CRK,18,137,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/crk/icon.svg,underlying,,,,,,,,
,C,0xe91d640fcaea9602cf94c0d48a251a7f6d946953,REX Hat 2023,rexHAT,18,137,Pure,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/rexhat/icon.svg,supertoken,,,,,,,,
,C,0x42bb40bf79730451b11f6de1cba222f17b87afd7,Super fUSDC Fake Token,fUSDCx,18,80001,Wrapper,0xbe49ac1eadac65dccf204d4df81d650b50122ab2,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/usdc/icon.svg,supertoken,,0x00d05eed85bad962ba5237dd4afff12004455a8a,0x8ae68021f6170e5a766be613cea0d75236ecca9a,0xa4fd433d8c9956e842a78cac26700a07f33f53ff,,0xa4fd433d8c9956e842a78cac26700a07f33f53ff,testnet,
,C,0xbe49ac1eadac65dccf204d4df81d650b50122ab2,fUSDC Fake Token,fUSDC,18,80001,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/usdc/icon.svg,underlying,,,,,,,testnet,
,C,0x5d8b4c2554aeb7e86f387b4d6c00ac33499ed01f,Super fDAI Fake Token,fDAIx,18,80001,Wrapper,0x15f0ca26781c3852f8166ed2ebce5d18265cceb7,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/dai/icon.svg,supertoken,,0x24f3631dbbf6880c684c5e59578c21194e285baf,0xf2d68898557ccb2cf4c10c3ef2b034b2a69dad00,0xac7a5cf2e0a6db31456572871ee33eb6212014a9,,0xac7a5cf2e0a6db31456572871ee33eb6212014a9,testnet,
,C,0x15f0ca26781c3852f8166ed2ebce5d18265cceb7,fDAI Fake Token,fDAI,18,80001,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/dai/icon.svg,underlying,,,,,,,testnet,
,C,0x6c357412329f9a3ee07017be93ed0ac551faa77b,Army,ARMY,18,80001,Pure,,,,,,,,supertoken,,,,,,,testnet,
,C,0x74950bcbb141ae70b8959fc06a65ac2601cf7801,NTDL,NTDL,18,80001,Pure,,,,0x60fdb4d22e793353d98324d824034d66827f602e,0xd735b487b9018eeada2cc0464db02aa4b90ca711,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/ntdl/icon.svg,supertoken,,,0xcc48a0349077b91ab540d2e46addffb4a4a26251,,,,testnet,
,C,0x918e0d5c96cac79674e2d38066651212be3c9c48,Super fTUSD Fake Token,fTUSDx,18,80001,Wrapper,0xa794c9ee519fd31bbce643e8d8138f735e97d1db,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/tusd/icon.svg,supertoken,,0x232a9cf3ded0f9f708099eb0cb8ed56313c02a4b,0x95697ec24439e3eb7ba588c7b279b9b369236941,0x675be78ed16cabe47f6d9f816d615c3d6d740508,,0x675be78ed16cabe47f6d9f816d615c3d6d740508,testnet,
,C,0xa794c9ee519fd31bbce643e8d8138f735e97d1db,fTUSD Fake Token,fTUSD,18,80001,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/tusd/icon.svg,underlying,,,,,,,testnet,
,C,0x96b82b65acf7072efeb00502f45757f254c2a0d4,Super MATIC,MATICx,18,80001,Native Asset,,,,,0x3ad736904e9e65189c3000c7dd2c8ac8bb7cd4e3,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/matic/icon.svg,supertoken,,,,,,,testnet,
,C,0x9b5475182c65b88dbc5f452204d181e1ae919a1d,Super Monerium EUR emoney (EURe),EURex,18,80001,Wrapper,0xcf487efd00b70eac8c28c654356fb0e387e66d62,,,,0x72a9bae5ce6de9816aadcbc24daa09f5d169a980,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/eure/icon.svg,supertoken,,,,,,,testnet,
,C,0xcf487efd00b70eac8c28c654356fb0e387e66d62,Monerium EUR emoney,EURe,18,80001,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/eure/icon.svg,underlying,,,,,,,testnet,
,C,0xb891d8559feb358f4651745aaabfe97067b3bf81,Cash,CASH,18,80001,Pure,,,,,,,,supertoken,,,,,,,testnet,
,C,0x9acb4aff21c88ec743aade1f2a6c5fa623e675c2,Super Fichita,FICHx,18,80001,Wrapper,0xe1f67d2683a3ea352047dc2c71c3ec6b1f7bd4bf,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/fich/icon.svg,supertoken,,,,,,,testnet,
,C,0xe1f67d2683a3ea352047dc2c71c3ec6b1f7bd4bf,Fichita,FICH,18,80001,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/fich/icon.svg,underlying,,,,,,,testnet,
